Bài 3.
Có hàm băm: h(i) = (i+3) mod 17

i       h(i)
1       4
3       6
18      4
8       11
23      9
35      4
11      14
36      5
20      6
16      2

a. chaining

0      |  -
1      |  -
2      |  16
3      |  -
4      |  1 → 18 → 35
5      |  36
6      |  3 → 20
7      |  -
8      |  -
9      |  23
10     |  -
11     |  8
12     |  -
13     |  -
14     |  11
15     |  -
16     |  -

b.Linear probing
0      |  -
1      |  -
2      |  16
3      |  -
4      |  1
5      |  18
6      |  3
7      |  35
8      |  36
9      |  23
10     |  20
11     |  8
12     |  -
13     |  -
14     |  11
15     |  -
16 
